author,content,publish_time,site_name,title,url
,"An agricultural firm is set to expand its base in Shrewsbury after plans for a new warehouse were approved.
Shropshire Council gave the go-ahead to outline proposals for the Wynnstay Group’s new building and storage area at Astley Park.
The business said the expansion would allow its arable division to grow in line with national demand.
A working hours condition has been implemented, to restrict operations to between 07:30 and 18:00 BST Monday to Friday, and 08:00 until  13:00 BST on Saturday.
""The new building and alterations proposed will further enhance the successful business of Wynnstay’s Arable division at Astley Park and create more employment opportunities for local people,” the firm said in a supporting statement to the authority.
The expansion will provide economic, environmental, and social benefits, while creating new employment opportunities, it added.
",,bbc,Green light for agricultural firm's expansion plan,
,"A farmer has revealed the identity of a mystery purple crop that has left people guessing on social media.
Trevor Edgley, who runs the Nightlayer Leek Company in Chatteris, Cambridgeshire,  found himself unable to drill wheat due to persistently wet fields during the spring.
He said he planted a special seed mix on land off the A142 between Chatteris and Mepal - called NUM3 - which encourages insects and wildlife.
 ""I think you'll start to see a lot of it about, ours has come out early because we drilled it in April, whilst we still had some moisture in the soil,"" he said. 
Planting NUM3 is a government ""sustainable farming incentive"" (SFI), which improves soil health and mitigates the impacts of extreme weather through rotation.
""The government [sustainable farming incentive] pays farmers £593 per hectare per year to grow the crop,"" Mr Edgley said.
""We have to pay for seed, labour and establishment costs out of that money. 
""Spring wheat and barley are not always that profitable, so for me, it is a safe bet to sow NUM3, and it is better for the environment too.""
Commentators on social media believed the crop was linseed, borage or lavender.
""I was planning to sow wheat, but the rain has been so bad, the fields were under water till mid-March,"" Mr Edgey added.
""The wheat seeds have been kept in storage, we will do a germination test on them later this year, and fingers crossed, they'll make it for next year.
""I have about 100 acres growing this fairly new crop, NUM3, a mixture of seven seeds that is designed to encourage insects, bee's, pollinators and farmland birds it is also a way to manage nutrient efficiency and improve soil health.""
NUM3 seed mix is made up of 50% vetch, 15% linseed, 15% buckwheat, 7.5% crimson clover, 7.5% berseem clover and 5% phacelia - which provides the vivid purple flower.
The Department for Environment, Food & Rural Affairs (DEFR) developed the incentive (SFI) to prevent too much land being taken out of food production.
""Through SFI, our aim is to support farming and farmers,"" a spokesperson said.
""We want to protect and improve the environment, food production and food security. We obviously don’t want SFI to be used in a way that comes at a cost to any of them.  
""The evidence shows that a small number of farmers, roughly 1% of those who applied for the sustainable farming incentive in 2023, entered 80% or more of their farm into actions that involve taking land out of food production.""
",,bbc,Mystery behind purple fields is revealed,
,"A review of the Isle of Man's regulations on fallen stock is underway, the environment, food and agriculture minister has confirmed.
However, Clare Barber MHK said the risks to humans and other animals would have to be ""carefully considered"" before any changes could be made.
It follows a call for permission to bury carcases on private land by the Manx National Farmers' Union after recent price increases for lost stock disposal which it said were 
 .
Ms Barber told the House of Keys any changes posed ""a significant risk"" by potentially compromising the island's ""ability to trade animals products"".
The Department of Infrastructure's animal waste section holds an exclusive contract to collect and dispose of dead animals from Manx farms.
Increases in the costs for the disposal of fallen stock were implemented at the start of July, with the price for the collection of a bull jumping by 185% to £152.70.
The government previously said processing plant price rises were ""considered an appropriate measure"" as it faced an ""average annual net loss of just under £500,000 over the past five years"".
Jason Moorhouse MHK asked Ms Barber if there was ""any possible solution"" to the issue as ""real frustration"" was being felt in the farming community, with some members continuing to withhold payments to the plant in protest.
Ms Barber said current legislation did not allow for stock that had died for reasons other than slaughter to be buried on farms ""except under exceptional circumstances"".
She told members the process posed risks to human and animal health from diseases such as foot and mouth disease and bovine tuberculosis.
The minister said a review had begun to ensure the island's regulatory framework on fallen stock was ""as resilient as possible"" and would also take into account ""any other practices and regimes that might exist in other jurisdictions"".
",,bbc,"Fallen stock rules being reviewed, minister says",
,"A blueberry grower is calling on the public and fellow farmers to choose locally grown produce over imported varieties.
Hall Hunter, which runs two farms in Surrey, will grow about 3,000 tonnes of blueberries this season – nearly 50% of the entire UK harvest.
But with demand increasing, more than 64,000 tonnes of blueberries are expected be imported in 2024.
Managing director Jim Floor said he wanted to encourage other farmers to grow British blueberries and stamp out mass importation.
“One of our main challenges is that the UK consumer hasn’t really worked out that you can get UK blueberries,” he said.
“It’s about making sure people realise that food miles and air miles are bad things, and that they should be supporting UK agriculture.”
The British blueberry growing season runs from June to September.
Last year, British blueberries were worth £607m to the UK economy. This year, that is expected to increase dramatically, Mr Floor said.
He said while the firm also grew strawberries, raspberries and blackberries, its biggest area of growth had been blueberries, adding that blueberries were “the perfect fruit”.
“I always say that if we could invent a pill that did all the things that blueberries do, then we would really have a winner on our hands,” he told BBC Radio Surrey.
“They are high in antioxidants, good at controlling cholesterol and blood pressure, helpful with mental health and cognitive controls and heart health.”
Hall Hunter has built a 55 hectare blueberry farm in Farnham after its yield increased four-fold in the last five years.
The company supplies major supermarkets including Waitrose and Sainsbury’s.
 or WhatsApp us on 08081 002250.
",,bbc,Buy locally grown blueberries over imports - farmer,
,"The farmers' pressure group Enough is Enough lit bonfires on farms around Wales on Monday evening to highlight the importance of agriculture before the general election.
Events were held in Ruthin, Denbighshire, Pennal near Machynlleth, Brecon, Powys, Aberystwyth and Rhydlewis, Ceredigion.
The main bonfire was held at Shadog Farm, Pentre-cwrt, near Llandysul, Ceredigion.
The event was supported by farming unions and rural businesses that rely on Agriculture.
Aelwyn Evans, who runs Caegwyn Farm Supplies in Llanwrda, Carmarthenshire, said: ""Farmers are feeling very low. 
""They come into my shop on a daily basis, complaining about what the government is trying to do to farming. It's farmers that keep businesses like ours going.
""Every rural business is concerned at the moment.""
Although agriculture is a devolved issue, Gary Howells said farming had not been given enough prominence during the election campaign.
""As a group, we're not very happy with how food security and agriculture has been talked about during the pre-election campaign,"" said Mr Howells.
""We've heard nothing about it. We talk a lot about the cost of food in the supermarkets.
""We witnessed with the Ukraine war, what can happen in a very short time. We have to make sure that we sustain our self-sufficiency.""
Mr Howells also voiced frustration with a ""lack of progress"" in negotiations with the Welsh government over issues like the new Sustainable Farming Scheme (SFS) and new rules to control agricultural pollution, due to be introduced in October.
The Welsh government recently announced it was delaying the introduction of its Sustainable Farming Scheme until 2026
The SFS is the Welsh government's big plan for funding the farming industry after Brexit, which puts more emphasis on the environment.
Under the proposals, farmers would be paid for actions resulting in environmental, animal welfare and social outcomes - over and above minimum legal requirements.
In order to gain access to the scheme, farmers would have to commit to having trees on 10% of their land, and earmark 10% as wildlife habitat. The scheme has been hugely controversial and has sparked protests.
In response a Welsh government spokesperson said: ""In May we introduced a new timeframe for the Sustainable Farming Scheme as part of a commitment to listening to farmers and rural communities. 
""The scheme will now begin in 2026, giving more time to engage with key partners. We will establish a SFS preparatory phase during 2025 to prepare farmers for entry into the new scheme.""
They added that the cabinet secretary for climate change and rural affairs had hosted two meetings of the SFS Roundtable which gives a wide range of stakeholders the opportunity to work together on the design of the scheme to resolve the remaining challenges.
Mr Howells said that farmers were still waiting for details on how to make their farms compliant with new rules to control agricultural pollution.
A Welsh government spokesperson said: ""We are beginning work to review agricultural pollution regulations, which is crucial to achieving our shared aims of an economically and environmentally sustainable farming sector. 
""The process of appointing an independent, external chair to oversee the review is underway and we look forward to sharing more information shortly.
""Since the introduction of the control of agricultural pollution regulations, we have offered over £31m of direct support towards on-farm infrastructure investments to help farmers meet the requirements.""
",,bbc,Farmers light bonfires to send election message,
,"Ecologists have started work to turn a former livestock farm into a nature reserve.
Derbyshire Wildlife Trust hopes the land attached to Common Farm in Nether Heage will become a ""mosaic of habitats"" for insects, birds and mammals.
It said rewilding farmland could benefit food security locally by encouraging pollinators, improving soil health and soaking up flood water.
Supporters helped the trust to buy the farm through 
, which raised almost £300,000.
The new 83-acre reserve will help connect existing Derbyshire wildlife habitats at Crich Chase to the north and Wyver Lane to the south west.
Before it begins to manage the new site, the trust needs to know what is already there.
BBC News watched as ecologist Dr Jordan Holmes conducted baseline surveys of birds, soils and pollinators.
Her fieldwork involves binoculars, a spade and a large net. 
Sweeping her net through measured areas of the grassland, which used to be grazed by cattle, revealed disappointing results - a few leaf beetles, a micro-moth and a lot of flies.
""It's not particularly species-rich,"" Dr Holmes said.
""I'll count them and identify them to species-level and then we'll know how many species we've got on site and what sort of different groups they represent."" 
Dr Holmes said they should be able to tell whether their rewilding management made a difference when they conducted similar surveys in the future.
Experts working for the Derbyshire Wildlife Trust said they were well aware of the ongoing debate around rewilding farmland.
Their local landscape recovery manager Ellie Field said when the trust announced the purchase most people were supportive.
But a few did raise concerns that farmland should remain productive rather than being reserved for nature. 
""We are facing a food security crisis in the UK,"" she said.
""But nature restoration doesn't preclude food production. We want to address [food security] by using nature-based solutions.""
The government's 2021 
 said biodiversity, soil degradation and climate change were among the biggest threats to food production in the UK. 
Clare Hartwell lives nearby in Nether Heage and supported the fundraising campaign.
She said she visited several times a week and had already noticed a difference after cattle stopped grazing the land.
""I've seen skylarks up here, I've seen red kites,"" she said.
""It's so important to have areas like this. It's important for people's wellbeing as well as for nature"".
",,bbc,Work starts to rewild former cattle farm,
,"Plans for a proposed slurry lagoon on a farm have been approved.
The hole in the ground, which stores animal waste to be used as fertiliser, has been granted for a site at Hill House Nook near Dalston, Cumbria, by Cumberland Council’s planning department.
The lagoon will measure 120ft (36m) by 75ft (23m) in area and be 12ft (3.75m) deep, and will be filled from the livestock buildings to the east of the site.
A planning report stated there would be no likely significant effect on any habitat sites or any nearby Site of Scientific Interest.
The 
 said a report stated the siting was considered as the development was ""located within an area subject to nutrient neutrality"", a means of ensuring that it would not add to existing nutrient burdens within catchments.
The proposals included the use of slurry bugs, to reduce the amount of agitation needed to create fertiliser, and a floating cover.
The council report also stated Natural England had ""confirmed"" that if the site was properly maintained, there would be ""no likely significant effect on any habitat sites"".
The approval was granted because it allowed the farm's ""future expansion"", for which there were ""no other possible options"".
",,bbc,Farm's slurry lagoon plans approved,
,"A new method of growing food could ""feed the world without trashing the planet at the same time"", according to an alternative farming entrepreneur.
Vertical farming is the practice of growing crops - such as rocket, watercress, basil and chives - in stacked layers, which are subject to artificial temperature, light, water and humidity control.
Fischer Farms said at capacity it can supply 1,000 tonnes of leafy greens, herbs and salads a day from its site in Norwich using the method.
Belinda Clarke, the director of Agri-TechE, said vertical farming could be ""a gamechanger for the industry"", but it had ""been really difficult to get the business model right"".
Tristan Fischer, the founder of Fischer Farms, said he believed the system could ""provide a significant amount of food stability around the world"".  
""They're emulating wind and sunshine, so we can have a night cycle for the plants, the wind makes the plants stronger and the sunshine helps them to grow,"" said grow assistant Samantha Wood.
Mr Fischer believed vertical farming could ""feed the world without trashing the planet at the same time"".
""The very sophisticated systems are expensive, there's a lot of up front capital costs and you need a high value crop,"" said Dr Clarke.
To ""justify the investment"", investors would need to grow crops for pharmaceuticals or ingredients for cosmetics or crops the UK currently imports out of season.
Dr Clarke suggested cereals, which ""we're quite good at growing to scale under free sunlight"", would be harder to justify. 
The company has trialled growing wheat and plans to move on to growing fruit followed by soy, wheat and peas. 
The crops are grown in a biosecure atmosphere, without pesticides, herbicides or insecticides.
Fischer Farms' four acre (1.61 hectare) Food Enterprise Park unit produces the same amount of food as a traditional 1,000 acre (404 hectare) farm, according to the company.
It also said the farm, which is funded by private equity firm Gresham House, is one of the biggest in the world, at 25,000 sq m (269,098 sq ft). 
The system does require a great deal of energy. 
Dr Clarke said this means vertical farming can only be commercially viable if it is built near a suitable energy source, such as a solar farm or an anaerobic digester.
Fischer Farms, which already uses existing solar panels on the farm's roof, plans to address its future power needs by using energy generated from a 130-acre (52-hectare) solar farm about to be built next door.
",,bbc,Is vertical farming the future of food production? ,
,"Welsh farmers are willing to work with “any politician” to reach a solution on the challenges facing the industry, a key union has said.
Gareth Parry, from Farmers’ Union of Wales, said there had been “a lot of political uncertainty” recently, but the “key asks” the sector had of both the Welsh and UK governments had not changed.
Recent months have seen large protests from farmers in Wales, who have expressed anger at planned Welsh government reforms to the sector.
The comments come days after 
 as Welsh first minister, after just four months in the job, and weeks after Labour won a landslide in the UK general election. 
A key issue has been the Sustainable Farming Scheme (SFS), the Welsh government’s flagship plan for funding the industry after Brexit, which places emphasis on the environment.
But following the protests, in May the Welsh government said the scheme would be delayed by another year until 2026, saying a new timeframe would give them the opportunity to “work through a number of important aspects”.
Speaking at the Royal Welsh Show in Llanelwedd, Powys - one of Europe's biggest annual agricultural events - Mr Parry said farmers in Wales wanted to ensure an agricultural system that guaranteed ""sustainable food production”, and served “all farmers, all farm types, all farm sizes in Wales"".
In order for that to happen, he said, policies must take into account their economic, social and environmental impact.
On the SFS, he said there was a concern it ""focused too much on the environmental proposals"".
""Farm businesses have to be economically sustainable for them to be able to invest in environmental measures and also to contribute to their local communities,"" he said.
Mr Parry also said there had been ""political uncertainty"" in both UK and Welsh politics recently, but the key demands of farmers remained unchanged.
Farming is a devolved issue in Wales, but decisions around funding are reached by the UK parliament in Westminster. 
""We are willing to work with any politician, any political parties for the best policy outcomes for the Welsh agricultural and rural communities,"" he said.
An ""open meeting"" held at the Royal Welsh Show attracted about 200 people on Monday evening.
Members of the farming community said they would keep pressure on the Welsh government not to implement the controversial plans that have, for now, been postponed.
NFU Cymru President Aled Jones said he thought the protests had made a difference.
""I think they have listened this time... there is a different feel and sense at the moment and the sense of urgency as well,"" he said.
""We must keep them to account, the commitments that we’ve had.""
Last week, Mr Gething was forced to resign as first minister after three ministers and his chief legal adviser quit at the same time.
He had faced months of controversy over campaign donations, and had lost a vote of confidence during the general election campaign.
On Monday, 
. 
She will run on a ""joint unity ticket"" with Climate Change and Rural Affairs Secretary Huw Irranca-Davies.
Asked about the SFS on Monday, Mr Irranca-Davies said the programme was in the ""preparatory phase"" with a view to it being launched in 2026.
He said ""consultation"" with relevant stakeholders was key to getting the scheme finalised.
""We know the areas that are knotty issues, we’re working through them and we’re doing them at pace,"" 
.
""What [farmers] don’t want is people playing around saying, ‘Let’s tear things up, let’s have a look at alternative ways forward’,"" he said, adding there were many agreements on the ""headline issues"".
He added that, as well as addressing food sustainability, the Welsh government also wanted to ""fix critical issues with nature and climate resilience as well"".
Pembrokeshire dairy farmer Simon Davies described it as an ""up and down"" year for farmers, who had faced weather issues as well as political upheaval.
He said the original demand in the SFS of having tree-cover on 10% of a farm’s land and managing 10% as wildlife habitat ""doesn’t make our business viable"".
The government has said there is crossover with the 10% targets and farmers can still use land being managed for wildlife habitat - for instance a field with a variety of different species of grasses counts as habitat but can still be used to graze livestock.
Mr Davies hoped progress could be made on the issue with the new Welsh government.
""There’s got to be a compromise, surely,"" he said.
He added farmers were not against planting more trees ""in the right places"" but could not accept a ""blanket approach"".
""That doesn’t work for my business and my family’s business going forward,"" he said.
",,bbc,"We'll work with anyone for rural life, say farmers",
,"Day two of the Royal Norfolk Show is under way with thousands expected to attend the event.
The county show kicked off on Wednesday at the Costessey Showground on the edge of Norwich.
It is thought 85,000 people will be in attendance over the entirety of the event, including the 
.
The county show, which has been running for more than 165 years, is filled with 3,000 animals, 700 trade stands and appearances by the RAF Falcons parachute display team.
The showcase will also feature showjumping competitions, pig racing, dog agility displays and musical performances.
The show will be home to a Broads village and an emergency services and military village, which will also host demonstrations and offer visitors a range of hands-on experiences. 
Roads are expected to be busy around the site, with the peak times due to be between 09:00 and 11:00. 
Traffic signs have been installed on all major roads and motorists have been advised to stick to the approved routes on journeys to the showground.
Wednesday 
 as well as severe congestion.
For people cycling to the show, there are parking facilities at the King George VI Gate, just off Dereham Road, which is also the drop-off point for taxis.
More buses will also run from the city bus station, with hourly services to the site also operating from Swanton Morley via Dereham.
",,bbc,Day two of Royal Norfolk Show kicks off,
,"A farm worker is warning people of the dangers of her profession after she was hurt in two quad bike crashes in her first year in the industry.
Erin Gailey, a herdsperson on a farm in Shropshire suffered multiple broken bones in the crashes in December 2019 and December 2020.
The 23-year-old spoke out after figures published by the Health and Safety Executive (HSE) claimed to show farming was the most dangerous job in Britain.
According to the research, 20% of workplace deaths happen on farms despite farmers making up just 1% of the working population.
Ms Gailey told BBC Radio Shropshire she moved away from her home in Evesham, Worcestershire, to work on a different farm in Shropshire when she was 18.
She was asked to go out on a quad bike on her fifth day and said she told her employer she had no experience with the vehicles.
“I was told ‘here’s the throttle of the bike, here are the brakes, the helmet is in the workshop somewhere’ and I got sent off. That was it,” she said.
As she was riding along a rain-soaked cow track, the bike slid off and she crashed into a fence post, breaking bones in both her hands.
She said she was off work for five weeks but when she came back, she was still using the quad bike every day.
On Christmas Day 2020, she crashed with a car as she pulled out of a junction, breaking her right leg which left her unable to work for five months.
Ms Gailey said she left the farm shortly after returning to work following a brake failure on one of the quad bikes.
She agreed farming was a dangerous industry and urged people to “know their limitations” before going into the sector.
“You could have the best employer in the world that has ticked every single box and done everything right but if you’re putting yourself in a stupid situation then things can still go wrong,” she said.
According to the HSE figures, 27 deaths were recorded on farms in Britain over the last year.
A charity, the Farm Safety Foundation, said it was a worldwide problem and there needed to be a ""significant change in culture"".
Spokeswoman Stephanie Berkeley said: ""We cannot continue to tolerate poor safety behaviours, we cannot assume that its somebody else’s job to drive this change in culture and we cannot rely on luck when going about our daily tasks.”
",,bbc,Farm worker's warning after quad bike crashes,
,"A company using drones in agriculture said it was not ""competing"" with traditional farming methods but ""complementing"" them. 
AutoSpray Systems started developing the use of drones in farming five years ago and managing director Rob Pearson said the technology is ""beginning to take off"". 
While their use can be beneficial to maintaining soil structure and reaching areas of farmland during wet weather, there are still restrictions on drones spraying pesticides. 
Mr Pearson said: ""Everything grows in the soil. It is the farmer's most valuable asset and the tractors compact it, they crush the ground, and this really damages the soil."" 
The company starts off by mapping out the field and the drone works out the most efficient way to apply seed or spray before it takes off. 
Mr Pearson said: ""This isn't here to compete with a tractor... when the fields are wet the tractors simply can't get into the field, but critically they cause compaction and they cause crop damage.""
He said use of the drone is a low carbon way of working and is a fraction of the cost of a tractor. 
""This really came into its own last year. It was a terribly wet harvest period, farmers had to keep their crops in the ground longer than they wanted until they were dry and ripened.
""We were able to put the next crop in three weeks before harvest effectively giving the farmer an extra month in its calendar year of growing."" 
Jeremy Buxton, who runs Eves Hill Farm in Booton, Norfolk, has started using drones after watching an episode of Countryfile featuring AutoSpray Systems on the BBC. 
He said benefits of using this technology on his regenerative farm was minimal soil disturbance and being able to get a ""living root"" into the soil before the crop has been harvested.
He said: ""We work so hard at improving soil structure and soil biology... with a drone flying above it there is no impact on the soil, be it from compaction or just moving the soil.
""I love regenerative farming... we are farming with nature rather than against it.""
While there are benefits, current restrictions mean drones cannot be used to spray pesticides that farmers would typically use, however, Mr Pearson hopes to see this change within the next 18 months. 
",,bbc,Drones can 'complement' traditional farming methods,
,"More than 1,000 apple, cobnut and broadleaf trees have been planted on an RSPB farm to discover whether agroforestry could be a ""useful tool for farmers"".
The trees were planted on an 11 hectare (27 acre) site at the charity's arable farm, between Papworth Everard and Cambridge, in 2022.
The long-term project will be monitored for biodiversity, greenhouse gas fluxes and business viability, said assistant farm manager, Sophie Arnold. 
She said not enough was known about what an agroforest does or does not deliver in terms of ""trade-offs and benefits"" within the UK's farming system. 
An agroforest uses strips of crop-producing trees alongside arable crops.
""The long term hope would be that by putting agroforestry on the farm, we have diversified the farm business so that it could actually be a useful tool for farmers to be a little bit more resilient when farming's becoming increasingly more difficult,"" said Ms Arnold. 
""We've planted three different types of trees - 13 varieties of apples, all juicing varieties, three varieties of cobnuts, which is a commercial type of hazel which can hopefully be pressed for cobnut oil, and eight species of native broadleaves.""
The native trees will help protect the cropping species from ""the big rolling winds that come through our flatland Cambridgeshire landscape"", she added. 
They have been planted in eight six-metre (26ft) alleys, 24 metres (78ft) apart, on the RSPB's Hope Farm, which it bought in 2000.
The charity took on the 181 hectare (447 acre)-farm to provide research-led evidence it was possible to encourage wildlife-friendly farming in one of the most intensively farmed bread baskets of England, alongside producing food and making a profit.
Today, 18 
, such as the linnet, yellowhammer and skylark, while others like lapwings, grey partridges and corn buntings have returned.
All are on 
. 
The RSPB set up the trial at Hope Farm as ""the impact that some agroforestry practices may have on biodiversity is not well evidenced"" - at a time of national tree-planting plans.
Ms Arnold said there will be ""rigorous monitoring"" of the agroforest ""over biodiversity, the greenhouse gas fluxes, the business changes and diversity"".
""We aim to get a really thorough understanding of what it actually delivers before we could advocate for or against it in a policy sphere,"" she said. 
",,bbc,'Agroforest' trial begins at RSPB's arable farm,
,"The cost of rural crime fell by more than a third in Shropshire last year, new figures have shown.
In its latest report, NFU Mutual (NFUM) shows the cost of claims last year fell by 35%, from £3.6m in 2022 to £2.4m in 2023, in contrast to a 4.3% rise in England as a whole.
David Harrison, from NFUM, said the real concern was the impact on farmers, who lived on targeted farms with their families.
Thieves stole a £40,000 loader from Dave Eardley's farm near Market Drayton in March, and despite the new figures, he believes rural crime is ""out of control.""
""I don’t think that we should be victims in our own home, where we have to lock everything up,"" he told BBC Midlands Today.
""There may have been more people here that we’re not aware of in the night, or even in the day.""
Mr Eardley described rural crime as ""rife"".
""Different areas are targeted, it might've gone down in this region, and up in others,"" he said.
Rural crime includes theft of vehicles, livestock, fuel, dogs attacking farm animals, fly-tipping and illegal waste dumping.
NFUM believes the reduction in Shropshire is due to an ""increasingly co-ordinated response"" to crime, but said criminals were becoming more sophisticated.
Across the wider Midlands, there was also a reduction, but at 6.7% drop in the cost of claims.
Andrew Chalk, from NFU Mutual, said although the statistics were great news for Shropshire, it was important not to get complacent.
""£2.3m is still very high, that's still lots of farmers being preyed upon,"" he said.
He added that NFUM was seeing larger claims as a result of crime becoming more organised.
""There is an increasingly coordinated response to the threat of rural crime, we’re hoping that that is actually bearing dividends in helping to drive down the numbers,"" he said.
The report showed that nationally, the number of agricultural vehicle thefts had fallen, whereas thefts of GPS units rose by 137%.
Graham Donaldson, of West Mercia Police, believed a multi-agency approach was helping to reduce crime.
""We’ve had a long running operation with colleagues at Dyfed-Powys Police and North Wales Police, which we called Operation Gander, which was targeting known criminals who specialise in thieving rural equipment.""
""By police forces working together with NFU Mutual, and the NFU itself, it’s a lot easier to track crime when we’ve got the assistance of partner agencies.""
",,bbc,Rural crime claim costs drop by a third in county,
,"On the car-free island of Sark, bicycles and tractors are the go-to mode of transport - except for Sundays when tractors are not allowed to be driven.
But now a group of politicians on the tiny Channel Island with a 
 are trying to change that, arguing Sunday is no longer considered a day of rest.
The move has sparked a row among residents - including one dubbed ""The King of Sark"" - who want to preserve the tradition.
Others argue times have changed and Sark needs to adapt.
The proposition to change the law has been submitted by members of the Douzaine, the body which looks after roads on the island, to be considered by the Chief Pleas in early July.
At the moment, tractors are the only motor vehicles which may be driven on the island - but their use is restricted to six days of the week.
Some people, however, have special permission to drive their tractor seven days a week.
Members of Sark's government have asked for the law to be changed so all tractors may be driven at any time.
In the proposition submitted by Conseiller Chris Bateson, chairman of the Douzaine, he wrote that ""there has been a gradual shift from the notion of 'keeping Sunday special' to it becoming 'just another working day'"".
His opinion was echoed by Bernadette Southern, chef at restaurant Fleur du Jardin, who said: ""It's totally different to what it was years ago, when Sunday was a relaxing day.""
She also said the summer season was now so short it was ""essential"" farmers and other people who needed tractors should be able to use them seven days a week.
She said: ""The boats change through the winter, so there aren't the same number of tourists. Everybody needs to make their money through the summertime. 
""Times really do need to change. I think everything else is changing so this needs to change too.""
However, Jason Salisbury, of Sark Dairy, said he believed the law should remain as it was, saying it was a selling point for tourists that the island was traffic-free, and that keeping one day a week with minimal tractor movement would ""keep Sark special"".
He said he did not want to work on Sundays despite working in agriculture.
He said: ""If you can't organise yourself not to try during a particular time, then you need to sort it out.""
As a compromise, Mr Salisbury suggested restricting tractors between 10:00 and 15:00, except for emergency services.
Peter Plummer, nicknamed the King of Sark, drives the tractor-towed bus service, known locally as the ""toast rack"" because of the shape of its passenger-carrying trailer, taking visitors up and down Harbour Hill on arrival and when leaving the island.
He holds special permission to drive his vehicle seven days a week and said he did not think the rule should be changed to allow everyone to do the same.
""If the rule is changed, I think people will take it for granted. 
""It's a slippery slope - at what point do you say no?""
He said that, despite dwindling summer seasons, allowing more tractor movement, and with it more dust and noise, would hurt the tourist economy rather than help it.
The proposition will be considered at the midsummer Chief Pleas on 3 July.
The report was originally on the agenda of the easter meeting of Chief Pleas but, owing to a vote of no confidence in the Douzaine, it was withdrawn.
The Douzaine discussed the report and decided to resubmit it and allow Chief Pleas to decide on the matter.
Conseiller Chris Bateson said: ""The Douzaine is aware that the subject of Sunday tractors is a contentious matter and hopes that Sark residents make their feelings known to both the committee and conseillers in general.""
",,bbc,Tractor rule change sparks row on car-free island,
,"Farmers have collaborated with a city museum to create an exhibition championing nature-friendly initiatives taking place in the countryside in England.
Ely Museum is in the Cambridgeshire Fens, which was drained centuries ago to produce extremely fertile soil for agriculture. 
The exhibition will showcase some of the conservation initiatives developed by a group of 16 farmers who are part of 
. 
Curator Rosie Amos said it was amazing to see how they balanced food production with creating a habitat for pollinators and endangered farmland species.
Conservation organisations such as the RSPB and 
 also contributed to the exhibition. 
Ms Amos, the museum's senior project officer, said: ""It's basically looking at the environmental initiatives happening in our backyard and really championing them, because there is so much going on to protect our environment right here in East Anglia.""
The Ely Nature Friendly Farming Zone was set up about six years ago, supported by the RSPB, to show how modern farming and wildlife can work side by side across the 8,700 hectares (22,000 acres) they farmed. 
It is home to nationally important populations of corn buntings and black-tailed godwits, as well as other threatened farmland birds including grey partridges, turtle doves and lapwings.
Ms Amos said it was ""a delightful surprise"" to find out how the farmers ""are working to protect the pollinators, provide habitats for wildlife and and they're learning from each other"".
The exhibition will ""do a bit of a comparison"" with farming techniques deployed in the Fens in the past, drawing upon its collection of historical farm equipment. 
""Nature-friendly farming is actually using some of the same kind of values and some of the same techniques as would have been used historically,"" said Ms Amos.
At the same time, it is deploying modern methods, such as tractor robots, while Wicken Fen is using drones to map the peat levels, she added. 
.
",,bbc,Farmers help create exhibition about countryside,
,"Farmers on the Isle of Man should not be ""penalised for the misfortune of losing stock"", a union representing the industry has said.
The Department of Infrastructure increased costs for the disposal of fallen stock from July, with the price for the collection of a bull jumping by 185% to £152.70.
In a statement the government said the animal waste processing plant prices had not increased ""for some time"" and the rise was ""considered an appropriate measure"".
But Manx National Farmers' Union secretary Sarah Comish it was ""unfair and unrealistic"" to ask farmers to cover the cost of the plant's operation.
It said the plant was ""integral"" to the industry but had produced an ""average annual net loss of just under £500,000 over the past five years"".
However, the statement said it was acknowledged the proposed increases had ""caused concern"", and the government was ""committed to continuing to engage"" with union on the issue, he said.
The infrastructure department animal waste section holds an exclusive contract to collect and dispose of dead animals from Manx farms.
Under the revised pricing structure, the charge for the collection of a bull has risen by £99.15, while the retrieval of a cow has gone up by £60.13.
Ms Comish said the hikes would be ""catastrophic"" for farmers, who were now withholding payments in protest. 
The extra charges would put an ""enormous amount of strain"" on the industry and could lead to people choosing to leave it.
She said the union had presented alternatives of inflationary increases or a change of regulation to allow farmers to bury carcases on their farms.
The union hoped for more discussions, supported by the Department of Environment, Food and Agriculture, could now take place to find a solution with the Department of Infrastructure, she added.
",,bbc,Fallen stock charges branded 'unrealistic',
,"An event in the south of the Isle of Man showcasing the agricultural industry attracted about 15,000 visitors, organisers have said.
The Southern District Agricultural Show took place on 
 at Orrisdale Farm in Ballasalla.
Show secretary Zoe Hampton said it was the first completely rain-free show for more than a decade, which meant it was ""very well-attended"" on both days.
The annual event included local produce and trade stands, a tractor and vintage car parade, dog agility, show jumping and saw Tom and Lee Cain's limousine heifer crowned the 2024 Supreme Champion.
It marked the second year the father and son from Colby took home the top prize in the livestock classes at the southern event.
Lee Cain told Manx Radio the heifer was ""the best we have ever had"".
This year's win was ""unexpected"" as it was not common for a heifer that was ""so young to do so well"", Tom Cain added.
First reserve was awarded to Alan and Alison Rothwell for their beltex lamb, Claire Baldwin took second reserve with her shire hors, while third reserve went to Rhian and Alec Masson for their Ayrshire heifer.
Ms Hampton said that there were ""so many people involved"" over the weekend that made the event possible, including the stewards, the judges, and the volunteers, which made it a ""real community event"".
""They turn up on the day year after year, some without us even asking them, they just come and help,"" she added.
",,bbc,Southern Agricultural Show attracts thousands,
